portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Não se hão de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos,N'i rambûémirĩî xûé aîpó tekorama resé xe nhe'engane,N'asendubi xûé aîpó tekorama resé xe nhe'enga,N'i rambûémirĩî xûé aîpó tekorama resé xe nhe'engane
"Não tem limite, não tem fim","N'i sykabi, n'i papabi","N'i sykabi, n'i papabi","N'i sykabi, n'i papabi"
"Não tem limite, não tem fim","N'i sykabi, n'i papabi","N'i sykabi, n'i papabi","N'i sykabi, n'i papabi"
"Não existem mais as suas antigas terras Todas, desde então, não contêm muita coisa",N'i tybangáî setãmbûera Opá akûeîme n'i poretáî,N'i tybangáî setãmbûera Opá akûeîme n'i tybangáî,N'i tybangáî setãmbûera Opá akûeîme n'i poretáî
"Não existem mais absolutamente suas antigas terras Todas, há tempos, não contêm muita coisa",N'i tybangáî setãmbûera Opá akûeîme n'i poretáî,N'i tybangáî setãmbûera Opá akûeîme n'i tybangáî,N'i tybangáî setãmbûera Opá akûeîme n'i poretáî
Não há absolutamente servos meus,N'i tybangáî xe boîá,Naîkóî xe boîá,N'i tybangáî xe boîá
Não há muitos restos deles,N'i tybetáî semyrûera,N'i tybetáî semyrûera,N'i tybetáî semyrûera
"Não há ali choro, não há doença, não há fome, sede também não há","N'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi","Nd'e'ipe resé îase'o, nd'i pubakéî, nd'i ambyasyî, n'i 'useî","N'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi"
Não há nada errado,N'i tybi mba'ememûã,Nd'oîkóî mba'ememûã,N'i tybi mba'ememûã
Não houve sangue em teu parto,N'i tybi tugûy nde membyrasápe,N'i tybi tugûy nde me'engaápe,N'i tybi tugûy nde membyrasápe
Não há como passar por mim para os que caminham,N'i tybi xe rasapaba ogûataba'e supé,Naîkóî ipó xe rapekó mombegûaba,N'i tybi xe rasapaba ogûataba'e supé
Não haverá outra comida?,N'i tybi xûépe amõ mi'u?,N'i tybi xûépe amõ mi'u?,N'i tybi xûépe amõ mi'u?
Não se separam na guerra,N'i xandoki marana ri,N'aîkoéî marana,N'i xandoki marana ri
"Não teve mãe, não tem corpo, não teve começo","N'i xyî, na setéî, n'i ypyî","I xyî e'ymba'e, seté îare'yma, ypy'imbeba'e","N'i xyî, na setéî, n'i ypyî"
"Mas não teve mãe, sendo Deus verdadeiro?",N'i xyîtepe Tupãetéramo oîkóbo?,N'i xyîtepe Tupãetéramo oîkóbo?,N'i xyîtepe Tupãetéramo oîkóbo?
Não sentimos cansaço,N'îaîandubi kane'õ,Nd'oroîmoasyî,N'îaîandubi kane'õ
Não trabalhamos neste dia,N'îaporabykyî kó 'ara pupé,Nd'îasóî kori,N'îaporabykyî kó 'ara pupé
porventura,nipó; (na interr): iã? ipó?,ipó re'a; serã; ruã prover,nipó; (na interr): iã? ipó?
talvez,nipó; serã; (na interr): ipó? tamanduá,nipó; serã; (na interr): ipó? tamanduá,nipó; serã; (na interr): ipó? tamanduá
Não se cansam de rezar a Deus,N'oîerurépytubari Tupã supé,Nd'o'arûáî Tupã mongetá resé,N'oîerurépytubari Tupã supé
Não se cansam de pedir a Deus pelos que os resgataram,N'oîerurépytubari Tupã supé ogûenosemarûera resé,N'osykyîéî Tupã supé ogûenosemarûera resé oîerurébo,N'oîerurépytubari Tupã supé ogûenosemarûera resé
Não diferem uns dos outros,N'oîkoéî o îosuí,N'i îosuî o îosuî,N'oîkoéî o îosuí
Não se afligem os outros?,N'oîkotebẽî amõba'e,N'oîkotebẽî amõaé?,N'oîkotebẽî amõba'e
Não ficam receosos os outros de não serem objetos do perdão de Deus?,N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?,N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?,N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?
Não se afligem por nada,N'oîkotebẽî ma'e amõ resé,N'oîkotebẽî ma'e amõ resé,N'oîkotebẽî ma'e amõ resé
"Não abrandam sua raiva, não perdoam","N'oîmogûabi o nhemoŷrõ, n'i nhyrõî","N'aîkotebẽî nhemoŷrõ, n'i nhyrõî","N'oîmogûabi o nhemoŷrõ, n'i nhyrõî"
Não desobedecem nem um pouco os que moram no céu à vontade de Deus?,N'oîmomarãmirĩangáîpe ybakygûara Tupã remimotara?,N'oîmomarãmirĩangáîpe ybakygûara Tupã remimotara?,N'oîmomarãmirĩangáîpe ybakygûara Tupã remimotara?
Não desobedecem nem sequer um pouco os habitantes do céu à vontade de Deus?,N'oîmomarãmirĩangáîpe ybakygûara Tupã remimotara?,"N'oîmomarãmirĩangáîpe ybakygûara Tupã nhe'enga, o a'oîré?",N'oîmomarãmirĩangáîpe ybakygûara Tupã remimotara?
Mas não castigará o homem seu filho e seu escravo?,N'oînupãî xûétepe abá o a'yra o embiaûsubane?,Nd'ouripe ra'e abá o a'yra o embiaûsubane?,N'oînupãî xûétepe abá o a'yra o embiaûsubane?
Não quis em nós o assalto de nosso inimigo,N'oîpotari îandé ri îandé sumarã pu'ama,N'i potari îandé ri îandé sumarã îandé moaûîébo,N'oîpotari îandé ri îandé sumarã pu'ama
Somente até aqui hei de nomear coisas para ti,Nõmo nhõ ma'e t'asenõî ndebe,Kó é anhõ t'asenõî ndebe,Nõmo nhõ ma'e t'asenõî ndebe
Não honram seu criador,N'omoetéî o monhangara,I îara moabaetee'yma,N'omoetéî o monhangara
Não oporão resistência um ao outro,N'onherani xûéne o îoupéne,N'oîoabyî,N'onherani xûéne o îoupéne
"Não acabam os desejos sensuais, a lascívia, as maledicências","N'opabi moropotara, tesãînana, marã'é","Nd'oîkóî nhe'engasy, tekopoxy, nhe'engaipaba","N'opabi moropotara, tesãînana, marã'é"
Não cessam suas palavras duras,N'opyki i nhe'engatã,N'i nhe'engatãî i nhe'enga abŷápe,N'opyki i nhe'engatã
Não deixam de ser presas de nossas mãos os que se confessam,N'opyki nhemombegûara îandé pó suí sembiara,Nd'i rambûer i pó suí nhe'enga retyma,N'opyki nhemombegûara îandé pó suí sembiara
Não ficou ninguém no lugar da batalha,N'opytáî amõ abá maranápe,Nd'oîkóî amõ abá a'e maranápe,N'opytáî amõ abá maranápe
Não ficou ninguém no campo de batalha,N'opytáî amõ abá maranápe,N'opytáî amõ abá maranápe,N'opytáî amõ abá maranápe
Não o teríamos trazido a ti se ele não tivesse pecado,N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo,"Îandé rekopoxy'ỹme é, nd'îaîpotari mba'e amõ kuapa",N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo
Mas não se esforçam esses por aprender sempre?,N'osa'angitep'akó nhembo'e ko'arapukuî?,Nd'osa'angitep'akó nhembo'e?,N'osa'angitep'akó nhembo'e ko'arapukuî?
Mas não tentam esses aprender sempre?,N'osa'angitep'akó nhembo'e ko'arapukuî?,N'osa'angitep'akó nhembo'e ko'arapukuî?,N'osa'angitep'akó nhembo'e ko'arapukuî?
Mas não tentam esses aprender sempre?,N'osa'angitep'akó nhembo'e ko'arapukuî?,N'osa'angitep'akó nhembo'e ko'arapukuî?,N'osa'angitep'akó nhembo'e ko'arapukuî?
Não obedecerá a ela,N'osapîari,"Aan, nd'ereîkóî xóne",N'osapîari
Não se compadeceu Deus de alguém por causa dos que descenderiam (dele)?,N'osaûsubaripe Tupã amõ abá îeapykaba'erama resé?,N'oîabyîpe Tupã o a'yra resé o angaturamba'e?,N'osaûsubaripe Tupã amõ abá îeapykaba'erama resé?
igual (a; igualha),nungara,abyare'ymja,nungara
açoitar,nupã,manhana,nupã
Estou a latejar,Nynnyng a'é,Anhagûãnhagûãî,Nynnyng a'é
entupir (tr),o (,moting,o (
remendar,o (,moepy,o (
Tendoos no pescoço,O aîuri serekóbo,Aîe'amogûab,O aîuri serekóbo
Com sua própria filha ninguém se casa,O aîyra resé abá n'omendari,I aîyra resé abá n'omendari,O aîyra resé abá n'omendari
Estando com seus cocares brilhantes que são mais brancos que a geada,O akanetáberaba ro'yrypy'aka sosé morotingyba'e reroína,I py'a i pokangeté morotingyba'e sosé morotingyba'e,O akanetáberaba ro'yrypy'aka sosé morotingyba'e reroína
Antes de fazer embelezar sua alma,O 'anga moporangukar e'ymebé,I mokanhẽe'ymebé,O 'anga moporangukar e'ymebé
a vida de sua alma,o 'anga rekobesaba,ikó 'ara,o 'anga rekobesaba
"E mentindo também aquele que invoca sua alma, que acontece?","O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?","O ekobé resé îeruresaba abé o îuraragûaîamo nhẽ, marãpe?","O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
Receando por suas almas,O 'anga resé oîeangûabo,O ekobé resé oîeangûabo,O 'anga resé oîeangûabo
Por confundir o inimigo sua alma,O 'anga sumarã o mbo'eaíme,O sumarã moesãîa,O 'anga sumarã o mbo'eaíme
o que fica aumentando seus pecados,o angaîpaba irumõrumõsara,Aîpó i angaîpaba moîo'arybé,o angaîpaba irumõrumõsara
"Arrependendose de seus pecados, deplorandoos","O angaîpaba moasŷabo, seroîasegûabo","O angaîpaba moasŷabo, o karukasymo","O angaîpaba moasŷabo, seroîasegûabo"
Não sentindo o peso de suas maldades,O angaîpaba posyîûera andube'yma,I angaîpaba repîaki'ĩmo,O angaîpaba posyîûera andube'yma
"Detestando seu pecado, a transgressão da palavra de Deus","O angaîpaba, Tupã nhe'enga abŷagûera reroŷrõmo",O angaîpaba Tupã nhe'enga raûsupa,"O angaîpaba, Tupã nhe'enga abŷagûera reroŷrõmo"
Sendo mau,O angaîpabamo,I angaîpaba resé,O angaîpabamo
Não querendo repetir seu pecado que ele detestava,O angaîpagûera o emieroŷrõagûera reroîebypotare'yma,O angaîpánhemima o amotare'yma oîpotare'yma,O angaîpagûera o emieroŷrõagûera reroîebypotare'yma
Resgatando totalmente seus antigos pecados,O angaîpagûera repyme'engambapa,Opá o angaîpagûera repyme'enga,O angaîpagûera repyme'engambapa
O que não repete seus antigos pecados,O angaîpagûera reroîebysare'yma,I angaîpagûera reroîebypotare'yma,O angaîpagûera reroîebysare'yma
suas túnicas ficando a rasgar,o aobusu mondoróndoroka,aobusu mondoróbo,o aobusu mondoróndoroka
Suas túnicas ficando a rasgar,O aobusu mondoróndoroka,I akanga resé mondarõmo,O aobusu mondoróndoroka
"Suas túnicas ficando a rasgar, estando furiosos",O aobusu mondoróndoroka o marãmotaramo,"I akanga rasy, i moŷrõmbyramo",O aobusu mondoróndoroka o marãmotaramo
"Estando com suas roupas brancas, como recompensa de o terem batizado",O aótinga o mongaraibagûera repyramo reroína,"Aótinga pupé i gûapyka, i mongaraibypyra moîekosupa",O aótinga o mongaraibagûera repyramo reroína
"Tendo inveja por seu próximo ter coisas boas, entristecendose por isso","O apixara mba'ekatu rerekó moasŷabo, sesé onhemoangekoaípa","Abá mba'ekatu resé og orybamo, onhemoŷrõmo","O apixara mba'ekatu rerekó moasŷabo, sesé onhemoangekoaípa"
O que perseguiu o cão de seu próximo,O apixara reîmbaba îagûara remimomosẽgûera,Amõ abá mondyîa,O apixara reîmbaba îagûara remimomosẽgûera
o que perseguiu o cão de seu próximo,o apixara reîmbaba îagûara remimomosẽgûera,Abá repenhana,o apixara reîmbaba îagûara remimomosẽgûera
maltratar a seu próximo,o apixara rerekoaíba,abá rerekoaíba,o apixara rerekoaíba
Tendo relações sexuais com mulheres diante de sua companheira,O apixara robaké kunhã resé oîkóbo,Kunhã resé o apixara robaké oîo'omarangatûabo,O apixara robaké kunhã resé oîkóbo
Agradandose com o que o hospeda,O apysykamo o momytasara ri,I mongaraibypyra pupé t'oîkó,O apysykamo o momytasara ri
Com seus irmãos não pode ninguém se casar,O asykûera resé nd'e'ikatuî abá omendá,I asykûera resé abá nd'e'ikatuî omendá,O asykûera resé nd'e'ikatuî abá omendá
No seu próprio ombro levanta a cruz,O ati'yba ri krusá osupi,Cruz nongatusábo o py'ape,O ati'yba ri krusá osupi
"No seu próprio ombro levanta a cruz De fraqueza, Jesus fála cair consigo","O ati'yba ri krusá osupi Membeka suí, Îesu sero'ari","Nde ybype cruz debilea rerasóbo, Îesu nde pyri o'á","O ati'yba ri krusá osupi Membeka suí, Îesu sero'ari"
No seu próprio ombro levanta a cruz,O ati'yba ri kurusá osupi,Cruz nongatusábo o py'ape,O ati'yba ri krusá osupi
"No seu próprio ombro, levanta a cruz Por fraqueza, Jesus fála cair consigo","O ati'yba ri, krusá osupi Membeka suí, Îesu sero'ari","Nde ybype, cruz moíni, nde aseî, Îesu nde moîekosupa","O ati'yba ri, krusá osupi Membeka suí, Îesu sero'ari"
"Querem, sem mais, que as amem, ficando a enfeitarse","O aûsuba oîpotarĩ, oîemomorãmoranga","Asaûsu, i mongaturãmotá","O aûsuba oîpotarĩ, oîemomorãmoranga"
Assim procede para disfarçar a existência de seus filhotes,O a'yra kuakupa emonã sekóû,Emonã o a'yra kuakupa,O a'yra kuakupa emonã sekóû
Não corrigindo seu filho quando ele estiver no mal,O a'yra marãbirĩ sekóreme senonhene'yma,I pitanga i angaîpaba'e resé oîeerekûaba'e,O a'yra marãbirĩ sekóreme senonhene'yma
Com seu filho não se importando,O a'yra resé oputupabe'ymamo,I membyra n'oîandubi,O a'yra resé oputupabe'ymamo
O que a seu filho e a seu escravo faz trabalhar,"O a'yra, o embiaûsuba omoporabykyba'e","I a'yra, i embiaûsuba omoporabykyba'e","O a'yra, o embiaûsuba omoporabykyba'e"
Sua própria formosura também viram,O aysó abé osepîak,I porangeté bé sepîaki,O aysó abé osepîak
Maltratandoo todos os seus súditos,O boîaetá pabẽ serekomemûãmo,I angaîpaba mo'anga'upa,O boîaetá pabẽ serekomemûãmo
Como seus discípulos receberamvos,O boîáramo pe rari,I boîá rerekóbo,O boîáramo pe rari
"Para se vingar de seu cão que cria, um homem não o alimenta","O eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî","Îagûara reburusu resé oîeapykábo, abá n'i remi'uî","O eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî"
"Após arrependeremse de seus atos, os índios vão confessarse","O ekó moasy riré, abá sóû îemombegûabo","I angaîpagûera repyme'ẽngatu roîré, abá sóû îemombegûabo","O ekó moasy riré, abá sóû îemombegûabo"
"Após arrependeremse de seu procedimento, os índios vão confessarse","O ekó moasy riré, abá sóû îemombegûabo","I angaîpagûera repyme'ẽngatu roîré, abá sóû îemombegûabo","O ekó moasy riré, abá sóû îemombegûabo"
"Por sua maldade, todos os homems destrói","O ekopoxy resé, opabĩ abá mondyki",I angaîpaba resé opá abá mondyîa,"O ekopoxy resé, opabĩ abá mondyki"
Para disfarçar a existência de suas presas ele disse isso,O embiara kuakupa aîpó i 'éû,Iî aŷpybo i moîarukari,O embiara kuakupa aîpó i 'éû
O que não quer ir para onde está o que ele detesta para não o ver,O emiamotare'yma rekoápe osópotare'ymba'e sepîaka suí,Kuîaba'e o ekópe osópotare'yma,O emiamotare'yma rekoápe osópotare'ymba'e sepîaka suí
Com algum neto seu não pode ninguém se casar,O emiarirõ amõ resé nd'e'ikatuî abá omendá,I nhemonhangûera amõ resé abá nd'e'ikatuî omendá,O emiarirõ amõ resé nd'e'ikatuî abá omendá
"Com um neto ou uma neta, com algum descendente não pode ninguém se casar",O emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá,"O emiminõ koîpó o ykera amõ, o mũ abá nd'e'ikatuî omendá",O emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá
Com sua própria neta não pode ninguém casarse,O emiminõ resé nd'e'ikatuî abá omendá,I aûsuba nd'e'ikatuî abá resé omendá,O emiminõ resé nd'e'ikatuî abá omendá
Todos os que confessou com os que escondeu voltará a confessar,O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine,I kuabypyre'yma supé opá oîmombe'u ymã,O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
Os que confessou com os que escondeu voltará a confessar,O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine,"A'e nde kuauká, nde mima, i paparypyramo sekóûne",O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
Escondendo ser sua parente verdadeira a que ele perverteu,O emimomoxypûera o mũetéramo sekó kuakupa,O membyraeté reîari o ekoaibeté,O emimomoxypûera o mũetéramo sekó kuakupa
O que se casa bem contra sua vontade,O emimotare'ymakatu omendaryba'e,Abá omendákatu o potare'yma rupi nhẽ,O emimotare'ymakatu omendaryba'e
"Por sua vontade é que ele se entregou aos seus adversários, não resistindo?",O emimotarybo épe erimba'e i nheme'engi og upîarama pé onherane'yma?,"I nhe'enga poxybagûera resépe i nheme'engi, oîepysyrõ e'ymetébo?",O emimotarybo épe erimba'e i nheme'engi og upîarama pé onherane'yma?
O que conta o que não sabe bem,O eminguákatue'yma oîmombe'uba'e,Marã aîpó n'a'éî nhẽ,O eminguákatue'yma oîmombe'uba'e
Fazendo sua esposa trabalhar,O emirekó moporabykŷabo,I agûasá moîekosupa,O emirekó moporabykŷabo
"No seu jardim formoso chamado ""Paraíso Terreal""",O emitymaysó Paraíso Terreal seryba'epe,"Îandé ""Paradisópygûaîa"" 'îaba",O emitymaysó Paraíso Terreal seryba'epe
Dar também o dízimo naquilo que plantou primeiro,O emitymbûerypy pupé Tupã potáme'engano,Ereîme'eng bé Tupãpotáme'engano nde îeapykáypy pupé,O emitymbûerypy pupé Tupã potáme'engano
Dar também o quinhão de Deus naquilo que plantou primeiro,O emitymbûerypy pupé Tupã potáme'engano,Tupã mba'ekatu resé ereîme'engy bé,O emitymbûerypy pupé Tupã potáme'engano
Dar também o dízimo naquilo que plantou primeiro,O emitymbûerypy pupé Tupãpotáme'engano,Ereîme'eng bé Tupãpotáme'engano nde îeapykáypy pupé,O emitymbûerypy pupé Tupã potáme'engano
Não cozendo sequer sua comida,O emi'urama tiruã moîybe'yma,N'oîmoasyî,O emi'urama tiruã moîybe'yma
Estou de joelhos,O endypy'ãe'yîbo aín,Aîeatyká,O endypy'ãe'yîbo aín
Com sua própria irmã não pode ninguém se casar,O endyra resé nd'e'ikatuî abá omendá,I kybyra resé abá nd'e'ikatuî omendá,O endyra resé nd'e'ikatuî abá omendá
A gente os tem cada um o seu próprio (anjo da guarda)?,O îabi'õpe asé serekóû?,Opakatupe asé rapixara serekóû sesé?,O îabi'õpe asé serekóû?
Desembarcando seu senhor na própria cachoeira,O îara opeá ytupe é,I îara kuakupa inaîagûasu apepûera amõ pupé,O îara opeá ytupe é
"Buscando seu Senhor, ao chegarem os reis, alegrouse teu coração","O îara reká, reîá mbasembápe sory nde py'a","Tupã rekáû, tubixaba supé ogûasemagûabo, o 'anga moîekosupa","O îara reká, reîá mbasembápe sory nde py'a"
"Jogou o pagamento por seu senhor no templo, indo finalmente enforcarse",O îara repypûera reîtyki Tupãokype aûîé osóbo oîeaîubyka,O îara repypûera reîtyki Tupãokype a'ereme i kanhemi,O îara repypûera reîtyki Tupãokype aûîé osóbo oîeaîubyka
Seu senhorzinho reconhecendo imediatamente,O îarĩ kuapa aunhenhẽ,I abaeté kûeîeténe aûnhenhẽ sepîaka,O îarĩ kuapa aunhenhẽ
"Descendo com seus choros, indo com seus gritos","O îase'o rerogûeîypa, ogûasẽgûasema rerasóbo","Asó nde rapirõmo, nde nhe'engá rerogûeîypa","O îase'o rerogûeîypa, ogûasẽgûasema rerasóbo"
"Descendo com seus choros, indo com seus gritos Nem por isso eles acabarão","O îase'o rerogûeîypa, ogûasẽgûasema rerasóbo Ndaeroîaî xûé i pabine","Asó îase'o rakó, asó îase'o rekóbo, n'apaki ruãte","O îase'o rerogûeîypa, ogûasẽgûasema rerasóbo Ndaeroîaî xûé i pabine"
Fazendoo derramar de si mesmo por nós,O îesuí i mo'ẽuká asé resé,I mombe'u îandé resé,O îesuí i mo'ẽuká asé resé
Prendios um ao pescoço do outro,O îoaîuri aîmoín,Aîmoîoakypûékypûer,O îoaîuri aîmoín
Prendios um no pescoço do outro,O îoaîuri aîmoín,Aîoakypûékypûer,O îoaîuri aîmoín
uns atrás dos outros,o îoakypûékypûeri,api,o îoakypûékypûeri
Estamos pertinho um do outro,O îoambyî oroîub,Îandé ri oîese'a,O îoambyî oroîub
Somos vizinhos uns dos outros,O îoamundabamo oroîub,Îandé posé aîkó,O îoamundabamo oroîub
Eles se tratam uns aos outros como semelhantes por causa de sua irmandade,O îoasykûera ri îasûaramo i îogûerekóû,O îoesé oîomongetá o îoesé oîemoîoîá o apixara resé,O îoasykûera ri îasûaramo i îogûerekóû
"sobre os ombros de duas pessoas, de um e do outro ombro (como a levar uma escada muito comprida)",o îoati'yba ri,o îoakypûéîa îabé,o îoati'yba ri
"Os que tratam de seu futuro casamento um com o outro não podem, depois disso, casarse com outros",O îoesé o mendaragûama resé nhemongetasara nd'e'ikatuî a'e roîré amoaé resé omendá,O îoesé omendaryba'e nd'e'ikatuî amoaé resé omendá,O îoesé o mendaragûama resé nhemongetasara nd'e'ikatuî a'e roîré amoaé resé omendá
Percebendo que a morte sucederia a si,O îoesé te'õ 'aragûama andupa,Te'õ o îoesé o îoesé ûîkuapa,O îoesé te'õ 'aragûama andupa
Vêem somente sua grandeza e sua formosura,O îoe'yîa anhõ o aysó abé osepîak,I îaporaîtykaraibeté anhõ osepîak,O îoe'yîa anhõ o aysó abé osepîak
Uns com os outros também o mataram,O îoirũmo bé i îukáû,I îabi'õ bé i îukáû,O îoirũmo bé i îukáû
Como coisa um do outro estão os que são casados,O îomba'eramo i momendarypyra rekóû,I îomba'e mendara,O îomba'eramo i momendarypyra rekóû
Querendo afastar de si mesmo o transtorno,O îosuí pubura pe'a potá,Aîpó mara'ara i xuí potá,O îosuí pubura pe'a potá
uns aos outros (sendo muitos),o îoupéupé,îoapyri,o îoupéupé
Prendios um ao lado do outro,O îoybyri aîmoín,Aîmoîoakypûékypûer,O îoybyri aîmoín
Prendios um ao lado do outro,O îoybyri aîmoín,Aîmoîoakypûékypûer,O îoybyri aîmoín
Lado a lado seus cadáveres ao longo do mar estavam,O îoybyri se'õmbûera paranã ybyri i kûáî,Paranã ybyri i kûáî re'õmbûera,O îoybyri se'õmbûera paranã ybyri i kûáî
Lado a lado seus cadáveres ao longo do mar estavam,O îoybyri se'õmbûera paranã ybyri i kûáî,Paranã ybyri i kûáî re'õmbûera,O îoybyri se'õmbûera paranã ybyri i kûáî
"Ao lado uns dos outros seus cadáveres estavam, ao longo do mar",O îoybyri se'õmbûera paranã ybyri i kûáî,O îoybyri o îoesé se'õmbûera paranã ybyri i kûáî,O îoybyri se'õmbûera paranã ybyri i kûáî
Ao lado uns dos outros seus cadáveres estavam ao longo do mar,O îoybyri se'õmbûera paranã ybyri i kûáî,O îoybyri se'õmbûera paranã ybyri i kûáî,O îoybyri se'õmbûera paranã ybyri i kûáî
Prendios uns ao lado dos outros,O îoybyybyri aîmoín,Îepegûasune,O îoybyybyri aîmoín
A seus próprios companheiros não querem bem,O irũ n'oîamotari,I kangûerĩndaba n'osaûsubi,O irũ n'oîamotari
Com o bafo de sua boca sopranos o rosto,O îuru timbora pupé asé robá peîuû,I îurupypykûera pupé asé robá moîo'arybo,O îuru timbora pupé asé robá peîuû
Tendo dor de suas queimaduras,O kaîa moasŷabo,Mboîasy tatá pupé oúpa,O kaîa moasŷabo
Amando muito sua santificação,O karaibagûama raûsukatûabo,I tĩîera raûsukatûabo,O karaibagûama raûsukatûabo
"Como pagamento de suas antigas comilanças, de suas antigas bebedeiras","O karûagûera, o sabeypóypoagûera repyramo",Mba'e tuîba'e i 'uagûera repyramo,"O karûagûera, o sabeypóypoagûera repyramo"
O que se compraz em seu sonho mau,O képoxy omboryba'e,I keranameté,O képoxy omboryba'e
Deleitandose com sua polução em seu sono,O kera pupé o pupukûera morypa,O angaîpaba repîakĩamo,O kera pupé o pupukûera morypa
Para a aspersão de seu aposento e de seu próprio corpo,O koty og o'o repyîagûama resé,I 'anga seté mombuka,O koty og o'o repyîagûama resé
"Após lançar fora de seu meio os vícios, o homem não os faz voltar consigo para seu meio, dispersandoos","O koty suí mba'epoxy reîtyk'iré, abá nd'ogûeroîebyri o kotype, i mosãîa","Mba'epoxy o teté reîtyka ré, abá nd'ogûeroîebyri o etéramo, i mosãîa","O koty suí mba'epoxy reîtyk'iré, abá nd'ogûeroîebyri o kotype, i mosãîa"
Com seu próprio irmão não pode ninguém se casar,O kybyra resé nd'e'ikatuî abá omendá,I kybyra resé abá nd'e'ikatuî omendá,O kybyra resé nd'e'ikatuî abá omendá
Fazendo alguém ser seu alcoviteiro,O manhanamo abá moingóbo,Abá mbo'esara moingóbo,O manhanamo abá moingóbo
Tendo alegria após sua morte,O manõ riré toryba rerekóbo,Abá 'ara ogûe'õ ré og orybamo,O manõ riré toryba rerekóbo
Logo depois que morrerem irão para o céu os que foram assim desse jeito?,O manõ riremẽ serã emonã nungara sóû ybakypene?,Ybakype emonã tekoara sóû ybakypene?,O manõ riremẽ serã emonã nungara sóû ybakypene?
Logo depois que morrerem irão para o céu os que foram semelhantes a algo assim?,O manõ riremẽ serã emonã nungara sóû ybakypene?,Oîkóbone ybakypene koba'e îakatuba'e re'õme?,O manõ riremẽ serã emonã nungara sóû ybakypene?
Confiando na formosura de muitos de si,O matueté aysó resé é oîerobîá,I angaturama rerobîákatu,O matueté aysó resé é oîerobîá
"Suas próprias coisas, na verdade, a gente ama em seu coração","O mba'e, nipó, asé o py'a pupé saûsubi",I xupé nhẽ rakó asé o py'ape saûsubi,"O mba'e, nipó, asé o py'a pupé saûsubi"
Futuro senhor de suas muitíssimas riquezas,O mba'ekatupabẽ îarama,Îori morubixaba ruri,O mba'ekatupabẽ îarama
sendo coisa antiga,o mba'epûeramo,erimba'endûarûera,o mba'epûeramo
O que tocou na irmã mais moça ou na irmã mais velha de sua noiva não pode casarse nem mesmo com sua noiva,O me'engabeté pyky'yra koîpó tykera resé obykyba'e n'e'ikatuî omendá o me'engabeté resé tiruã,I kyre'ymba'e koîpó i agûasápoxy resé o mena resé oîkéba'e n'e'ikatuî omendá o mena resé tiruã,O me'engabeté pyky'yra koîpó tykera resé obykyba'e n'e'ikatuî omendá o me'engabeté resé tiruã
O que tocou na irmã mais moça ou na irmã mais velha de sua noiva verdadeira não pode casarse nem mesmo com sua noiva,O me'engabeté pyky'yra koîpó tykera resé obykyba'e n'e'ikatuî omendá o me'engabeté resé tiruã,I kyre'ymba'e koîpó i kunhã'yba ri oîkóbo'e n'e'ikatuî omendá o me'engabeté resé tiruã,O me'engabeté pyky'yra koîpó tykera resé obykyba'e n'e'ikatuî omendá o me'engabeté resé tiruã
"Quando morre seu cônjuge verdadeiro, uma pessoa não pode casarse com algum irmão ou irmã dele","O me'engabeté re'õneme, abá nd'e'ikatuî omendá i asykûera amõ resé","O me'engabeté re'õ ré, abá nd'e'ikatuî omendá i asykûera amõ resé","O me'engabeté re'õneme, abá nd'e'ikatuî omendá i asykûera amõ resé"
Que ela faça seu mui belo filho perdoar a nós,O membyporangeté t'omoîerekûab orébo,O membyporangeté t'omoîerekûab orébo,O membyporangeté t'omoîerekûab orébo
Deseja ardentemente ver o nascimento de seu filho,O membyra 'arama osepîaka'ub,O membyra 'aragûera moanhẽmo,O membyra 'arama osepîaka'ub
Deseja ardentemente ver o nascimento de seu filho que se gera em seu ventre,O membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub,I pupé o membyrákara'arõmo,O membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub
Apazigua seu filho que está irado,O membyra i nhemoŷrõba'e oîmonhyrõ,Eîamotare'ym nde membyra,O membyra i nhemoŷrõba'e oîmonhyrõ
